gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	celltype	condition	supercluster
Mgl2	0	6.017242036	0.33	0.005	0	56	CAM	homeostasis	
Folr2	0	6.160954511	0.275	0.005	0	56	CAM	homeostasis	
Rgs18	0	5.451513404	0.275	0.006	0	56	CAM	homeostasis	
Fcna	0	7.149318167	0.264	0.002	0	56	CAM	homeostasis	
Vsig4	0	5.422759945	0.266	0.005	0	56	CAM	homeostasis	
Ifi202b	0	5.866796818	0.252	0.004	0	56	CAM	homeostasis	
Hsf3	0	5.752215207	0.229	0.005	0	56	CAM	homeostasis	
Cd209g	0	5.741849707	0.226	0.003	0	56	CAM	homeostasis	
Cd209a	0	6.560599691	0.218	0.002	0	56	CAM	homeostasis	
Fpr1	0	4.977545067	0.203	0.005	0	56	CAM	homeostasis	
F13a1	0	4.924187483	0.987	0.049	0	57	CAM	non-homeostasis	
Mrc1	0	4.796419834	0.971	0.045	0	57	CAM	non-homeostasis	
Dab2	0	4.007488139	0.908	0.096	0	57	CAM	non-homeostasis	
Itsn1	0	4.234859051	0.879	0.08	0	57	CAM	non-homeostasis	
Psd3	0	3.844855226	0.858	0.098	0	57	CAM	non-homeostasis	
Cd163	0	5.446382361	0.665	0.015	0	57	CAM	non-homeostasis	
Ms4a4a	0	3.955125301	0.628	0.035	0	57	CAM	non-homeostasis	
Atp5o	0	3.829648682	0.636	0.045	0	57	CAM	non-homeostasis	
Cmah	0	3.922986341	0.414	0.019	0	57	CAM	non-homeostasis	
Mill2	0	5.295591551	0.326	0.008	0	57	CAM	non-homeostasis	
Cbr2	0	4.808966867	0.293	0.008	0	57	CAM	non-homeostasis	
Timd4	0	6.096068296	0.276	0.004	0	57	CAM	non-homeostasis	
Serpinb8	0	4.897888559	0.218	0.006	0	57	CAM	non-homeostasis	
Lyve1	1.70E-301	4.511675927	0.213	0.007	9.65E-297	57	CAM	non-homeostasis	
Fam110b	1.26E-269	4.260934747	0.289	0.014	7.15E-265	57	CAM	non-homeostasis	
Cd93	5.00E-258	4.420092706	0.201	0.007	2.85E-253	57	CAM	non-homeostasis	
Rbpj	7.00E-214	4.010687516	0.967	0.264	3.98E-209	57	CAM	non-homeostasis	
Slc41a2	3.33E-204	4.222696296	0.243	0.013	1.90E-199	57	CAM	non-homeostasis	
Tlr8	1.66E-183	3.883232301	0.238	0.014	9.43E-179	57	CAM	non-homeostasis	
Cpne8	4.90E-181	3.86828712	0.222	0.012	2.79E-176	57	CAM	non-homeostasis	
Mrc1	0	5.52745676	0.948	0.038	0	58	CAM	non-homeostasis	
F13a1	0	5.063835352	0.927	0.043	0	58	CAM	non-homeostasis	
Dab2	0	4.462568252	0.844	0.091	0	58	CAM	non-homeostasis	
Itsn1	0	4.341856609	0.736	0.075	0	58	CAM	non-homeostasis	
Rbpj	0	3.963022853	0.899	0.26	0	58	CAM	non-homeostasis	
Psd3	0	4.095140716	0.721	0.094	0	58	CAM	non-homeostasis	
Ms4a7	0	4.181121427	0.599	0.047	0	58	CAM	non-homeostasis	
Vav3	0	3.648507417	0.616	0.067	0	58	CAM	non-homeostasis	
Cd163	0	5.728052437	0.509	0.012	0	58	CAM	non-homeostasis	
Ms4a4a	0	4.909163926	0.527	0.031	0	58	CAM	non-homeostasis	
Atp5o	0	4.380782937	0.484	0.042	0	58	CAM	non-homeostasis	
Colec12	0	3.848357154	0.448	0.041	0	58	CAM	non-homeostasis	
Vcam1	0	4.753578349	0.356	0.025	0	58	CAM	non-homeostasis	
Adam33	0	4.67712028	0.327	0.018	0	58	CAM	non-homeostasis	
Nrg2	0	4.393523593	0.304	0.022	0	58	CAM	non-homeostasis	
Ptprk	0	4.512559552	0.299	0.02	0	58	CAM	non-homeostasis	
Mcc	0	4.072851324	0.253	0.026	0	58	CAM	non-homeostasis	
Egfr	0	4.925903134	0.227	0.011	0	58	CAM	non-homeostasis	
Clec10a	0	5.33514109	0.203	0.008	0	58	CAM	non-homeostasis	
Siglec1	0	3.977949538	0.207	0.021	0	58	CAM	non-homeostasis	
F13a1	0	5.047542682	0.975	0.048	0	59	CAM	non-homeostasis	
Mrc1	0	4.152606825	0.851	0.044	0	59	CAM	non-homeostasis	
Aoah	0	4.108310467	0.861	0.093	0	59	CAM	non-homeostasis	
Dab2	0	4.040495381	0.851	0.096	0	59	CAM	non-homeostasis	
Rbpj	0	4.45137615	0.947	0.264	0	59	CAM	non-homeostasis	
Saa3	0	6.897858802	0.666	0.018	0	59	CAM	non-homeostasis	
Cd38	0	5.114741273	0.658	0.036	0	59	CAM	non-homeostasis	
Ms4a4a	0	4.660277635	0.608	0.034	0	59	CAM	non-homeostasis	
Cd163	0	5.123817853	0.506	0.015	0	59	CAM	non-homeostasis	
Atp5o	0	3.950931315	0.519	0.045	0	59	CAM	non-homeostasis	
Lcn2	0	5.992953605	0.446	0.014	0	59	CAM	non-homeostasis	
Siglec1	0	4.502199467	0.41	0.021	0	59	CAM	non-homeostasis	
Cd55	0	6.185407919	0.342	0.006	0	59	CAM	non-homeostasis	
Cpne8	0	5.10267656	0.316	0.012	0	59	CAM	non-homeostasis	
Clec4a1	0	4.291518643	0.319	0.019	0	59	CAM	non-homeostasis	
Ehd1	0	4.294136174	0.314	0.019	0	59	CAM	non-homeostasis	
Cbr2	0	5.535036025	0.284	0.007	0	59	CAM	non-homeostasis	
Hif3a	0	4.82804262	0.241	0.009	0	59	CAM	non-homeostasis	
Vcam1	1.80E-296	4.023052202	0.334	0.028	1.02E-291	59	CAM	non-homeostasis	
Zbtb16	6.87E-157	4.0646955	0.228	0.024	3.91E-152	59	CAM	non-homeostasis	
Mrc1	0	5.225500441	0.996	0.045	0	60	CAM	non-homeostasis	
F13a1	0	4.995300382	0.967	0.049	0	60	CAM	non-homeostasis	
Pde7b	0	4.851686011	0.876	0.053	0	60	CAM	non-homeostasis	
Cd163	0	5.626986459	0.731	0.015	0	60	CAM	non-homeostasis	
Siglec1	0	5.354232407	0.686	0.021	0	60	CAM	non-homeostasis	
Mill2	0	5.523816841	0.438	0.007	0	60	CAM	non-homeostasis	
Egfr	0	5.101954843	0.442	0.013	0	60	CAM	non-homeostasis	
Ifi203-ps	0	5.691524405	0.401	0.007	0	60	CAM	non-homeostasis	
Clec10a	0	5.104744523	0.401	0.009	0	60	CAM	non-homeostasis	
Vsig4	0	5.881420355	0.351	0.005	0	60	CAM	non-homeostasis	
Hsf3	0	5.853372433	0.343	0.005	0	60	CAM	non-homeostasis	
Lyve1	0	5.198660629	0.335	0.007	0	60	CAM	non-homeostasis	
Ifi202b	0	5.347908914	0.314	0.004	0	60	CAM	non-homeostasis	
Timd4	0	6.019252981	0.281	0.004	0	60	CAM	non-homeostasis	
Folr2	0	5.038892235	0.281	0.005	0	60	CAM	non-homeostasis	
Serpinb8	0	4.97903772	0.273	0.006	0	60	CAM	non-homeostasis	
Rgs18	0	4.947790483	0.273	0.006	0	60	CAM	non-homeostasis	
Cd209f	0	4.920092415	0.264	0.005	0	60	CAM	non-homeostasis	
Cd209g	0	5.058941079	0.211	0.004	0	60	CAM	non-homeostasis	
Dpyd	2.82E-255	4.989406386	0.227	0.01	1.60E-250	60	CAM	non-homeostasis	
Gpnmb	0	5.55023083	0.896	0.042	0	61	MDM	non-homeostasis	
Sash1	0	3.638730751	0.716	0.092	0	61	MDM	non-homeostasis	
Ddhd1	0	3.757182527	0.725	0.13	0	61	MDM	non-homeostasis	
Myof	0	4.880753661	0.608	0.038	0	61	MDM	non-homeostasis	
Ldlrad3	0	4.835836377	0.597	0.04	0	61	MDM	non-homeostasis	
Iqgap2	0	3.794785687	0.616	0.067	0	61	MDM	non-homeostasis	
Lgals3	0	3.860562991	0.464	0.048	0	61	MDM	non-homeostasis	
Airn	0	4.316341766	0.438	0.032	0	61	MDM	non-homeostasis	
Slamf7	0	4.181385611	0.395	0.031	0	61	MDM	non-homeostasis	
Plxnc1	0	3.885524946	0.402	0.041	0	61	MDM	non-homeostasis	
St18	0	4.656676191	0.346	0.024	0	61	MDM	non-homeostasis	
Atp6v0d2	0	5.809459676	0.328	0.009	0	61	MDM	non-homeostasis	
Hpse	0	4.597985299	0.309	0.023	0	61	MDM	non-homeostasis	
Fam20c	0	3.682527517	0.299	0.037	0	61	MDM	non-homeostasis	
Fbxo32	0	3.962114746	0.302	0.04	0	61	MDM	non-homeostasis	
Gas2l3	0	3.719077581	0.278	0.035	0	61	MDM	non-homeostasis	
Slc7a2	0	3.965679126	0.258	0.019	0	61	MDM	non-homeostasis	
Adgre5	0	3.692420556	0.246	0.022	0	61	MDM	non-homeostasis	
Slc26a11	0	3.572764009	0.217	0.029	0	61	MDM	non-homeostasis	
Clec12a	0	4.230676902	0.203	0.016	0	61	MDM	non-homeostasis	
Ccr2	0	4.559687191	0.462	0.036	0	62	MDM	non-homeostasis	
Tgfbi	1.83E-226	3.971516605	0.584	0.077	1.04E-221	62	MDM	non-homeostasis	
Sirpb1c	3.41E-211	4.516759768	0.275	0.018	1.94E-206	62	MDM	non-homeostasis	
Fn1	1.29E-198	4.233348203	0.382	0.037	7.31E-194	62	MDM	non-homeostasis	
Myof	2.21E-180	3.777746501	0.393	0.042	1.26E-175	62	MDM	non-homeostasis	
Clec12a	7.79E-171	4.733607737	0.237	0.017	4.43E-166	62	MDM	non-homeostasis	
Cybb	2.53E-161	3.607944546	0.473	0.067	1.44E-156	62	MDM	non-homeostasis	
Sirpb1b	7.48E-158	4.473502693	0.229	0.017	4.26E-153	62	MDM	non-homeostasis	
Ciita	1.25E-138	4.004240176	0.252	0.023	7.11E-134	62	MDM	non-homeostasis	
Iqgap2	3.47E-132	3.189113433	0.447	0.071	1.98E-127	62	MDM	non-homeostasis	
Ms4a7	7.09E-132	3.449305976	0.378	0.051	4.03E-127	62	MDM	non-homeostasis	
Atrnl1	3.29E-126	3.244031609	0.599	0.139	1.87E-121	62	MDM	non-homeostasis	
Dock5	3.37E-108	3.616990982	0.26	0.03	1.92E-103	62	MDM	non-homeostasis	
Ldlrad3	1.42E-107	3.496511015	0.317	0.044	8.10E-103	62	MDM	non-homeostasis	
Mob3b	4.09E-106	3.701251161	0.317	0.045	2.33E-101	62	MDM	non-homeostasis	
Rai14	8.69E-85	3.272424082	0.366	0.071	4.95E-80	62	MDM	non-homeostasis	
Gpr141	2.28E-82	3.132450254	0.206	0.024	1.30E-77	62	MDM	non-homeostasis	
Axl	1.06E-76	3.212110099	0.344	0.069	6.02E-72	62	MDM	non-homeostasis	
Klra2	3.36E-69	3.127499864	0.202	0.027	1.91E-64	62	MDM	non-homeostasis	
Slamf7	1.30E-68	3.297900252	0.225	0.033	7.41E-64	62	MDM	non-homeostasis	
Pde7b	0	4.085629316	0.861	0.051	0	63	MDM	non-homeostasis	
Klra2	0	5.344155156	0.816	0.024	0	63	MDM	non-homeostasis	
Tgfbi	0	3.863794351	0.83	0.075	0	63	MDM	non-homeostasis	
Ms4a7	0	4.069010171	0.799	0.048	0	63	MDM	non-homeostasis	
Creb5	0	3.934430963	0.803	0.073	0	63	MDM	non-homeostasis	
Spon1	0	4.718717303	0.732	0.035	0	63	MDM	non-homeostasis	
Sirpb1c	0	4.768890477	0.522	0.016	0	63	MDM	non-homeostasis	
Ccr1	0	3.911600369	0.49	0.028	0	63	MDM	non-homeostasis	
Sirpb1b	0	4.464360683	0.465	0.015	0	63	MDM	non-homeostasis	
Ciita	0	4.055346872	0.464	0.021	0	63	MDM	non-homeostasis	
Itgax	0	3.909719131	0.452	0.027	0	63	MDM	non-homeostasis	
Pdgfc	0	4.064967624	0.393	0.023	0	63	MDM	non-homeostasis	
Rgs1	0	3.991893418	0.396	0.037	0	63	MDM	non-homeostasis	
Ms4a14	0	4.112684215	0.354	0.016	0	63	MDM	non-homeostasis	
Zmynd15	0	3.995652394	0.327	0.018	0	63	MDM	non-homeostasis	
Scimp	0	4.144573237	0.317	0.014	0	63	MDM	non-homeostasis	
Htr7	0	4.258712617	0.287	0.011	0	63	MDM	non-homeostasis	
Clec4n	0	4.184454457	0.287	0.012	0	63	MDM	non-homeostasis	
Dpep2	0	5.137960015	0.222	0.006	0	63	MDM	non-homeostasis	
Sh2d1b1	0	4.58596065	0.22	0.007	0	63	MDM	non-homeostasis	
Gpr141	0	5.656532907	0.771	0.023	0	64	MDM	non-homeostasis	
Ldlrad3	0	5.021418767	0.656	0.043	0	64	MDM	non-homeostasis	
Gda	0	5.062882845	0.631	0.028	0	64	MDM	non-homeostasis	
Plcb1	0	5.73637909	0.643	0.045	0	64	MDM	non-homeostasis	
Klra2	0	5.081703203	0.618	0.026	0	64	MDM	non-homeostasis	
Adgre5	0	5.156999528	0.506	0.023	0	64	MDM	non-homeostasis	
Adgre4	0	7.207209456	0.487	0.01	0	64	MDM	non-homeostasis	
Arhgef37	0	7.116513222	0.452	0.008	0	64	MDM	non-homeostasis	
Napsa	0	5.913058549	0.395	0.009	0	64	MDM	non-homeostasis	
Dgkg	0	5.984919046	0.392	0.01	0	64	MDM	non-homeostasis	
Emilin2	0	5.056157286	0.373	0.015	0	64	MDM	non-homeostasis	
Sirpb1a	0	6.542040896	0.331	0.006	0	64	MDM	non-homeostasis	
Vcan	0	6.79978166	0.306	0.007	0	64	MDM	non-homeostasis	
Rara	0	5.203280303	0.277	0.009	0	64	MDM	non-homeostasis	
Stxbp6	0	5.320384233	0.258	0.013	0	64	MDM	non-homeostasis	
Nr4a1	0	5.700873867	0.242	0.008	0	64	MDM	non-homeostasis	
Ace	0	8.687395198	0.226	0.001	0	64	MDM	non-homeostasis	
Clec2g	0	6.023203383	0.217	0.004	0	64	MDM	non-homeostasis	
Ms4a8a	0	5.202288386	0.201	0.007	0	64	MDM	non-homeostasis	
Pparg	2.01E-272	5.436330176	0.201	0.009	1.14E-267	64	MDM	non-homeostasis	
Lgals3	0	4.287299653	0.607	0.05	0	65	MDM	non-homeostasis	
Lilrb4b	0	3.983037664	0.495	0.044	0	65	MDM	non-homeostasis	
Vegfa	0	5.285544463	0.458	0.019	0	65	MDM	non-homeostasis	
Bnip3	0	4.569429768	0.41	0.031	0	65	MDM	non-homeostasis	
Egln3	0	5.597199134	0.38	0.014	0	65	MDM	non-homeostasis	
Adam8	0	5.137904076	0.359	0.017	0	65	MDM	non-homeostasis	
Mmp12	0	7.149467364	0.258	0.004	0	65	MDM	non-homeostasis	
Slc7a2	6.40E-295	4.956812237	0.322	0.02	3.64E-290	65	MDM	non-homeostasis	
Gys1	3.30E-275	4.213136326	0.397	0.032	1.88E-270	65	MDM	non-homeostasis	
Arg1	3.52E-220	4.364366052	0.254	0.017	2.00E-215	65	MDM	non-homeostasis	
Taco1	5.97E-218	3.921918673	0.712	0.137	3.40E-213	65	MDM	non-homeostasis	
Xdh	3.35E-187	3.220760187	0.508	0.073	1.90E-182	65	MDM	non-homeostasis	
Creb5	1.35E-175	3.447210481	0.498	0.075	7.67E-171	65	MDM	non-homeostasis	
Ero1a	4.07E-172	4.152934906	0.403	0.052	2.31E-167	65	MDM	non-homeostasis	
Pfkp	1.94E-170	3.761155516	0.332	0.035	1.10E-165	65	MDM	non-homeostasis	
H2-Q6	1.31E-145	3.209591913	0.312	0.035	7.45E-141	65	MDM	non-homeostasis	
Lilrb4a	7.02E-136	3.085833532	0.4	0.06	3.99E-131	65	MDM	non-homeostasis	
Iqgap1	3.23E-128	3.21257193	0.512	0.104	1.83E-123	65	MDM	non-homeostasis	
Slc2a1	8.52E-121	3.463207649	0.369	0.058	4.85E-116	65	MDM	non-homeostasis	
Gas2l3	4.27E-102	3.242917159	0.271	0.037	2.43E-97	65	MDM	non-homeostasis	
Lyz2	0	4.17364472	0.948	0.141	0	66	MDM	non-homeostasis	
Cd74	0	3.805224378	0.892	0.107	0	66	MDM	non-homeostasis	
Tgfbi	0	4.734269132	0.829	0.077	0	66	MDM	non-homeostasis	
H2-Aa	0	4.499912	0.753	0.051	0	66	MDM	non-homeostasis	
Fn1	0	4.959996929	0.725	0.036	0	66	MDM	non-homeostasis	
H2-Ab1	0	4.523985239	0.693	0.05	0	66	MDM	non-homeostasis	
Arg1	0	5.993276077	0.61	0.016	0	66	MDM	non-homeostasis	
Chil3	0	4.796720025	0.598	0.019	0	66	MDM	non-homeostasis	
H2-Eb1	0	4.32952525	0.61	0.042	0	66	MDM	non-homeostasis	
Lgals3	0	3.856235512	0.59	0.05	0	66	MDM	non-homeostasis	
Myof	0	4.098848754	0.53	0.042	0	66	MDM	non-homeostasis	
F10	0	5.496373901	0.454	0.012	0	66	MDM	non-homeostasis	
Junos	0	4.634555455	0.462	0.034	0	66	MDM	non-homeostasis	
Ciita	0	4.461209214	0.41	0.022	0	66	MDM	non-homeostasis	
Ahnak	1.08E-295	4.065086764	0.422	0.029	6.13E-291	66	MDM	non-homeostasis	
Slc7a2	7.33E-291	4.39935505	0.347	0.02	4.17E-286	66	MDM	non-homeostasis	
Fam20c	3.50E-261	3.957050793	0.454	0.038	1.99E-256	66	MDM	non-homeostasis	
C3	4.09E-209	4.451087517	0.219	0.011	2.33E-204	66	MDM	non-homeostasis	
Emilin2	6.71E-156	4.150506752	0.223	0.015	3.82E-151	66	MDM	non-homeostasis	
Dram1	5.94E-146	3.830291527	0.271	0.024	3.38E-141	66	MDM	non-homeostasis	
Tgfbi	0	4.205462646	0.878	0.077	0	67	MDM	non-homeostasis	
H2-Ab1	0	3.88654325	0.789	0.05	0	67	MDM	non-homeostasis	
H2-Aa	0	4.077256475	0.789	0.051	0	67	MDM	non-homeostasis	
Chil3	0	4.203181816	0.706	0.019	0	67	MDM	non-homeostasis	
Fn1	0	4.630744328	0.694	0.036	0	67	MDM	non-homeostasis	
H2-Eb1	0	3.901304532	0.7	0.042	0	67	MDM	non-homeostasis	
Klra2	0	3.909801938	0.617	0.027	0	67	MDM	non-homeostasis	
Cd38	0	3.81670732	0.594	0.037	0	67	MDM	non-homeostasis	
Arg1	0	5.00535806	0.572	0.016	0	67	MDM	non-homeostasis	
Cyp4f18	0	4.194066808	0.517	0.021	0	67	MDM	non-homeostasis	
Sirpb1c	0	4.264357495	0.461	0.018	0	67	MDM	non-homeostasis	
Clec12a	0	4.202232417	0.456	0.017	0	67	MDM	non-homeostasis	
Ms4a8a	0	4.840046485	0.267	0.008	0	67	MDM	non-homeostasis	
Ecm1	1.62E-291	4.228627644	0.311	0.012	9.20E-287	67	MDM	non-homeostasis	
Emilin2	5.39E-283	3.863415143	0.35	0.015	3.07E-278	67	MDM	non-homeostasis	
Ciita	1.65E-271	3.859762625	0.417	0.022	9.40E-267	67	MDM	non-homeostasis	
Lyz2	1.26E-255	3.707285708	0.961	0.141	7.20E-251	67	MDM	non-homeostasis	
Tmem51	1.90E-235	3.723026945	0.35	0.018	1.08E-230	67	MDM	non-homeostasis	
Wfdc17	1.27E-222	3.83656504	0.239	0.009	7.22E-218	67	MDM	non-homeostasis	
Thbs1	4.63E-200	3.695506091	0.244	0.011	2.63E-195	67	MDM	non-homeostasis	
Chil3	0	6.232986352	0.887	0.017	0	68	MDM	non-homeostasis	
Myof	0	4.480448362	0.884	0.04	0	68	MDM	non-homeostasis	
Fn1	0	5.367484282	0.873	0.035	0	68	MDM	non-homeostasis	
Arg1	0	6.682601438	0.832	0.014	0	68	MDM	non-homeostasis	
F10	0	5.753940172	0.764	0.011	0	68	MDM	non-homeostasis	
Junos	0	5.065196614	0.749	0.032	0	68	MDM	non-homeostasis	
Plcb1	0	4.583740891	0.673	0.044	0	68	MDM	non-homeostasis	
Sirpb1c	0	4.750910237	0.605	0.017	0	68	MDM	non-homeostasis	
Slc7a2	0	4.998807438	0.579	0.019	0	68	MDM	non-homeostasis	
Emilin2	0	4.74167644	0.554	0.014	0	68	MDM	non-homeostasis	
Ms4a8a	0	5.667782749	0.448	0.006	0	68	MDM	non-homeostasis	
C3	0	4.553538566	0.391	0.01	0	68	MDM	non-homeostasis	
F7	0	5.664997163	0.362	0.004	0	68	MDM	non-homeostasis	
Bst1	0	5.075635655	0.349	0.006	0	68	MDM	non-homeostasis	
AA467197	0	4.493945606	0.338	0.009	0	68	MDM	non-homeostasis	
Ly6i	0	5.20331228	0.334	0.006	0	68	MDM	non-homeostasis	
Arhgef37	0	4.698831475	0.334	0.007	0	68	MDM	non-homeostasis	
Hp	0	4.570560887	0.292	0.006	0	68	MDM	non-homeostasis	
Sgms2	0	4.512000844	0.28	0.007	0	68	MDM	non-homeostasis	
Mcemp1	0	4.626884146	0.277	0.005	0	68	MDM	non-homeostasis	
Acod1	0	6.744141981	0.768	0.013	0	69	MDM	non-homeostasis	
F10	0	6.702417392	0.743	0.011	0	69	MDM	non-homeostasis	
Slc7a2	0	6.860984669	0.731	0.019	0	69	MDM	non-homeostasis	
Dram1	0	5.432848505	0.686	0.022	0	69	MDM	non-homeostasis	
Slc7a11	0	6.178456334	0.646	0.024	0	69	MDM	non-homeostasis	
Arg1	0	5.810513233	0.589	0.016	0	69	MDM	non-homeostasis	
Clec4d	0	5.619367741	0.486	0.008	0	69	MDM	non-homeostasis	
Clec4e	0	7.023444122	0.481	0.004	0	69	MDM	non-homeostasis	
AA467197	0	5.790135735	0.464	0.009	0	69	MDM	non-homeostasis	
C3	0	5.204698839	0.454	0.011	0	69	MDM	non-homeostasis	
Sgms2	0	5.527333307	0.389	0.007	0	69	MDM	non-homeostasis	
Clec4n	0	5.365755779	0.387	0.013	0	69	MDM	non-homeostasis	
Inhba	0	7.821885734	0.354	0.003	0	69	MDM	non-homeostasis	
Anpep	0	5.274918893	0.314	0.008	0	69	MDM	non-homeostasis	
Olr1	0	6.885790369	0.309	0.004	0	69	MDM	non-homeostasis	
F7	0	5.510488848	0.284	0.005	0	69	MDM	non-homeostasis	
Ly6i	0	5.277307721	0.277	0.006	0	69	MDM	non-homeostasis	
Nos2	0	7.509840095	0.252	0.003	0	69	MDM	non-homeostasis	
Il1rn	0	5.552536005	0.234	0.004	0	69	MDM	non-homeostasis	
Tnip3	0	5.377187994	0.219	0.005	0	69	MDM	non-homeostasis	
Ero1a	0	5.374157998	0.746	0.051	0	70	MDM	non-homeostasis	
Vegfa	0	5.634825493	0.695	0.018	0	70	MDM	non-homeostasis	
Slc7a2	0	5.845924137	0.679	0.02	0	70	MDM	non-homeostasis	
Adam8	0	5.055996576	0.6	0.016	0	70	MDM	non-homeostasis	
Egln3	0	5.653602007	0.483	0.013	0	70	MDM	non-homeostasis	
Nos2	0	7.222331691	0.448	0.003	0	70	MDM	non-homeostasis	
Rnf217	0	5.121534215	0.448	0.014	0	70	MDM	non-homeostasis	
Emilin2	0	4.8786898	0.419	0.015	0	70	MDM	non-homeostasis	
Ndrg1	0	5.263359612	0.403	0.012	0	70	MDM	non-homeostasis	
Arg1	0	5.036421723	0.406	0.016	0	70	MDM	non-homeostasis	
Atf3	0	4.974518269	0.41	0.023	0	70	MDM	non-homeostasis	
Mmp12	0	7.969251724	0.352	0.004	0	70	MDM	non-homeostasis	
Hilpda	0	6.102971154	0.349	0.005	0	70	MDM	non-homeostasis	
Hmox1	0	5.041482462	0.333	0.014	0	70	MDM	non-homeostasis	
Ccrl2	0	4.946170535	0.263	0.011	0	70	MDM	non-homeostasis	
Plk2	0	4.881036277	0.257	0.012	0	70	MDM	non-homeostasis	
Hspa1a	0	8.524099125	0.241	0.002	0	70	MDM	non-homeostasis	
Dpep2	0	5.170428886	0.241	0.006	0	70	MDM	non-homeostasis	
Pdpn	0	5.723792693	0.225	0.005	0	70	MDM	non-homeostasis	
Hspa1b	0	8.520426443	0.219	0.001	0	70	MDM	non-homeostasis	
Ccr2	0	5.310263002	0.847	0.033	0	71	MDM	non-homeostasis	
Klra2	0	5.508545825	0.832	0.024	0	71	MDM	non-homeostasis	
Gpr141	0	5.810325156	0.808	0.022	0	71	MDM	non-homeostasis	
Fn1	0	5.334451315	0.801	0.034	0	71	MDM	non-homeostasis	
Chil3	0	5.715839213	0.734	0.017	0	71	MDM	non-homeostasis	
Gda	0	4.990497825	0.685	0.027	0	71	MDM	non-homeostasis	
Plac8	0	4.937576517	0.63	0.023	0	71	MDM	non-homeostasis	
Plcb1	0	5.241055561	0.62	0.044	0	71	MDM	non-homeostasis	
Sirpb1c	0	5.029690141	0.571	0.017	0	71	MDM	non-homeostasis	
Emilin2	0	5.460121913	0.561	0.014	0	71	MDM	non-homeostasis	
F10	0	5.41072416	0.511	0.011	0	71	MDM	non-homeostasis	
Ms4a8a	0	6.390773578	0.476	0.006	0	71	MDM	non-homeostasis	
Arg1	0	4.981495645	0.457	0.015	0	71	MDM	non-homeostasis	
Htr7	0	5.191067732	0.372	0.011	0	71	MDM	non-homeostasis	
Arhgef37	0	5.34475663	0.357	0.007	0	71	MDM	non-homeostasis	
AA467197	0	5.228405302	0.313	0.009	0	71	MDM	non-homeostasis	
Mefv	0	5.431325351	0.274	0.005	0	71	MDM	non-homeostasis	
Vcan	0	5.813153968	0.24	0.007	0	71	MDM	non-homeostasis	
Tarm1	0	5.260684695	0.232	0.006	0	71	MDM	non-homeostasis	
Vdr	0	5.771671533	0.201	0.004	0	71	MDM	non-homeostasis	
Gpnmb	0	4.135209939	0.656	0.048	0	72	MDM	non-homeostasis	
Pde7b	0	4.694891257	0.66	0.054	0	72	MDM	non-homeostasis	
Mndal	2.80E-254	3.764459141	0.651	0.069	1.59E-249	72	MDM	non-homeostasis	
Sash1	9.78E-250	3.622789294	0.755	0.096	5.57E-245	72	MDM	non-homeostasis	
Ifi203	1.41E-245	3.732393615	0.604	0.061	7.99E-241	72	MDM	non-homeostasis	
Iqgap2	1.83E-223	3.606585313	0.623	0.071	1.04E-218	72	MDM	non-homeostasis	
Myof	6.49E-212	4.099004766	0.467	0.042	3.69E-207	72	MDM	non-homeostasis	
Slfn5	1.53E-184	3.827368392	0.533	0.063	8.71E-180	72	MDM	non-homeostasis	
Mx1	3.78E-179	3.889552378	0.486	0.053	2.15E-174	72	MDM	non-homeostasis	
Slfn4	1.52E-172	4.638530874	0.236	0.013	8.62E-168	72	MDM	non-homeostasis	
Hpse	1.89E-169	4.26299508	0.321	0.025	1.07E-164	72	MDM	non-homeostasis	
Slamf7	1.62E-165	4.160515401	0.368	0.033	9.21E-161	72	MDM	non-homeostasis	
Axl	2.85E-157	3.737054832	0.514	0.068	1.62E-152	72	MDM	non-homeostasis	
Ldlrad3	1.36E-148	4.078427255	0.401	0.044	7.71E-144	72	MDM	non-homeostasis	
Tmem51	1.34E-113	4.194168382	0.226	0.018	7.62E-109	72	MDM	non-homeostasis	
Clec12a	3.59E-109	4.093021517	0.212	0.017	2.04E-104	72	MDM	non-homeostasis	
Sirpb1c	4.53E-103	4.011700965	0.217	0.018	2.58E-98	72	MDM	non-homeostasis	
Ifi211	1.42E-102	3.953766094	0.25	0.024	8.08E-98	72	MDM	non-homeostasis	
Rsad2	2.52E-92	4.359501243	0.208	0.019	1.43E-87	72	MDM	non-homeostasis	
Siglec1	8.09E-80	3.947575737	0.212	0.022	4.60E-75	72	MDM	non-homeostasis	
Pde7b	0	4.448716154	0.681	0.053	0	73	MDM	non-homeostasis	
Tgfbi	0	4.014632278	0.631	0.077	0	73	MDM	non-homeostasis	
Spon1	0	4.620892248	0.537	0.037	0	73	MDM	non-homeostasis	
Klra2	0	4.103705249	0.415	0.026	0	73	MDM	non-homeostasis	
Gpr141	0	3.708873876	0.314	0.024	0	73	MDM	non-homeostasis	
Ifi203	7.77E-254	3.151470682	0.458	0.061	4.42E-249	73	MDM	non-homeostasis	
Taco1	1.17E-236	3.692979414	0.635	0.137	6.67E-232	73	MDM	non-homeostasis	
Ifi213	1.32E-219	3.058725891	0.451	0.067	7.52E-215	73	MDM	non-homeostasis	
Myof	2.92E-213	3.304298993	0.348	0.042	1.66E-208	73	MDM	non-homeostasis	
