"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGF2R",0,0.202143369637757,0.704,0.481,0,"2","IGF2R"
"SMIM30",0,0.201722649292544,0.914,0.806,0,"2","SMIM30"
"DMXL2",0,0.201352018189634,0.588,0.319,0,"2","DMXL2"
"UQCRB",0,0.201140706829028,1,1,0,"2","UQCRB"
"MGAT4A",0,0.20079791686967,0.85,0.711,0,"2","MGAT4A"
"SIGLEC1",0,0.200588016686261,0.33,0.07,0,"2","SIGLEC1"
"SFPQ",0,-0.200234208921238,0.883,0.927,0,"2","SFPQ"
"CCDC12",0,-0.200399559153778,0.552,0.739,0,"2","CCDC12"
"ERCC1",0,-0.201027954017683,0.805,0.887,0,"2","ERCC1"
"TPM3",0,-0.201592108173541,0.987,0.994,0,"2","TPM3"
"NT5C",0,-0.201778346506678,0.635,0.794,0,"2","NT5C"
"RPS18",0,-0.201923182324102,1,1,0,"2","RPS18"
"RPLP1",0,-0.202170430033242,1,1,0,"2","RPLP1"
"MCM5",0,-0.202386235511626,0.379,0.543,0,"2","MCM5"
"ETHE1",0,-0.202545404654447,0.849,0.923,0,"2","ETHE1"
"SRSF7",0,-0.202599165343783,0.835,0.892,0,"2","SRSF7"
"LMNB1",0,-0.202661000812621,0.087,0.343,0,"2","LMNB1"
"RPL14",0,-0.202764224085102,1,1,0,"2","RPL14"
"IGSF6",0,-0.203131825710291,0.943,0.983,0,"2","IGSF6"
"SNRPG",0,-0.203363057533715,0.943,0.975,0,"2","SNRPG"
"TPM4",0,-0.204092824541836,0.789,0.878,0,"2","TPM4"
